state_abbr,name,office,district,party,candidate,votes,geoid
AZ,Apache,President,NA,NA,Robert L. Buchanan,0,04001
AZ,Cochise,President,NA,NA,Robert L. Buchanan,0,04003
AZ,Coconino,President,NA,NA,Robert L. Buchanan,0,04005
AZ,Gila,President,NA,NA,Robert L. Buchanan,4,04007
AZ,Graham,President,NA,NA,Robert L. Buchanan,0,04009
AZ,Greenlee,President,NA,NA,Robert L. Buchanan,0,04011
AZ,La Paz,President,NA,NA,Robert L. Buchanan,0,04012
AZ,Maricopa,President,NA,NA,Robert L. Buchanan,42,04013
AZ,Mohave,President,NA,NA,Robert L. Buchanan,0,04015
AZ,Navajo,President,NA,NA,Robert L. Buchanan,1,04017
AZ,Pima,President,NA,NA,Robert L. Buchanan,6,04019
AZ,Pinal,President,NA,NA,Robert L. Buchanan,0,04021
AZ,Santa Cruz,President,NA,NA,Robert L. Buchanan,0,04023
AZ,Yavapai,President,NA,NA,Robert L. Buchanan,1,04025
AZ,Yuma,President,NA,NA,Robert L. Buchanan,2,04027
AZ,Apache,President,NA,NA,Willie Felix Carter,6,04001
AZ,Cochise,President,NA,NA,Willie Felix Carter,0,04003
AZ,Coconino,President,NA,NA,Willie Felix Carter,1,04005
AZ,Gila,President,NA,NA,Willie Felix Carter,0,04007
AZ,Graham,President,NA,NA,Willie Felix Carter,0,04009
AZ,Greenlee,President,NA,NA,Willie Felix Carter,0,04011
AZ,La Paz,President,NA,NA,Willie Felix Carter,0,04012
AZ,Maricopa,President,NA,NA,Willie Felix Carter,28,04013
AZ,Mohave,President,NA,NA,Willie Felix Carter,0,04015
AZ,Navajo,President,NA,NA,Willie Felix Carter,1,04017
AZ,Pima,President,NA,NA,Willie Felix Carter,5,04019
AZ,Pinal,President,NA,NA,Willie Felix Carter,1,04021
AZ,Santa Cruz,President,NA,NA,Willie Felix Carter,0,04023
AZ,Yavapai,President,NA,NA,Willie Felix Carter,0,04025
AZ,Yuma,President,NA,NA,Willie Felix Carter,0,04027
AZ,Apache,President,NA,NA,Darrell Castle,34,04001
AZ,Cochise,President,NA,NA,Darrell Castle,37,04003
AZ,Coconino,President,NA,NA,Darrell Castle,13,04005
AZ,Gila,President,NA,NA,Darrell Castle,4,04007
AZ,Graham,President,NA,NA,Darrell Castle,14,04009
AZ,Greenlee,President,NA,NA,Darrell Castle,1,04011
AZ,La Paz,President,NA,NA,Darrell Castle,2,04012
AZ,Maricopa,President,NA,NA,Darrell Castle,616,04013
AZ,Mohave,President,NA,NA,Darrell Castle,24,04015
AZ,Navajo,President,NA,NA,Darrell Castle,24,04017
AZ,Pima,President,NA,NA,Darrell Castle,141,04019
AZ,Pinal,President,NA,NA,Darrell Castle,75,04021
AZ,Santa Cruz,President,NA,NA,Darrell Castle,4,04023
AZ,Yavapai,President,NA,NA,Darrell Castle,44,04025
AZ,Yuma,President,NA,NA,Darrell Castle,25,04027
AZ,Apache,President,NA,DEM,Hillary Clinton,17083,04001
AZ,Cochise,President,NA,DEM,Hillary Clinton,17450,04003
AZ,Coconino,President,NA,DEM,Hillary Clinton,32404,04005
AZ,Gila,President,NA,DEM,Hillary Clinton,7003,04007
AZ,Graham,President,NA,DEM,Hillary Clinton,3301,04009
AZ,Greenlee,President,NA,DEM,Hillary Clinton,1092,04011
AZ,La Paz,President,NA,DEM,Hillary Clinton,1575,04012
AZ,Maricopa,President,NA,DEM,Hillary Clinton,702907,04013
AZ,Mohave,President,NA,DEM,Hillary Clinton,17455,04015
AZ,Navajo,President,NA,DEM,Hillary Clinton,16459,04017
AZ,Pima,President,NA,DEM,Hillary Clinton,224661,04019
AZ,Pinal,President,NA,DEM,Hillary Clinton,47892,04021
AZ,Santa Cruz,President,NA,DEM,Hillary Clinton,11690,04023
AZ,Yavapai,President,NA,DEM,Hillary Clinton,35590,04025
AZ,Yuma,President,NA,DEM,Hillary Clinton,24605,04027
AZ,Apache,President,NA,NA,Michael Corsetti,0,04001
AZ,Cochise,President,NA,NA,Michael Corsetti,0,04003
AZ,Coconino,President,NA,NA,Michael Corsetti,0,04005
AZ,Gila,President,NA,NA,Michael Corsetti,0,04007
AZ,Graham,President,NA,NA,Michael Corsetti,0,04009
AZ,Greenlee,President,NA,NA,Michael Corsetti,0,04011
AZ,La Paz,President,NA,NA,Michael Corsetti,0,04012
AZ,Maricopa,President,NA,NA,Michael Corsetti,3,04013
AZ,Mohave,President,NA,NA,Michael Corsetti,0,04015
AZ,Navajo,President,NA,NA,Michael Corsetti,0,04017
AZ,Pima,President,NA,NA,Michael Corsetti,0,04019
AZ,Pinal,President,NA,NA,Michael Corsetti,0,04021
AZ,Santa Cruz,President,NA,NA,Michael Corsetti,0,04023
AZ,Yavapai,President,NA,NA,Michael Corsetti,0,04025
AZ,Yuma,President,NA,NA,Michael Corsetti,0,04027
AZ,Apache,President,NA,ADP,Rocky De La Fuente,0,04001
AZ,Cochise,President,NA,ADP,Rocky De La Fuente,3,04003
AZ,Coconino,President,NA,ADP,Rocky De La Fuente,2,04005
AZ,Gila,President,NA,ADP,Rocky De La Fuente,0,04007
AZ,Graham,President,NA,ADP,Rocky De La Fuente,0,04009
AZ,Greenlee,President,NA,ADP,Rocky De La Fuente,0,04011
AZ,La Paz,President,NA,ADP,Rocky De La Fuente,0,04012
AZ,Maricopa,President,NA,ADP,Rocky De La Fuente,20,04013
AZ,Mohave,President,NA,ADP,Rocky De La Fuente,0,04015
AZ,Navajo,President,NA,ADP,Rocky De La Fuente,1,04017
AZ,Pima,President,NA,ADP,Rocky De La Fuente,3,04019
AZ,Pinal,President,NA,ADP,Rocky De La Fuente,0,04021
AZ,Santa Cruz,President,NA,ADP,Rocky De La Fuente,0,04023
AZ,Yavapai,President,NA,ADP,Rocky De La Fuente,0,04025
AZ,Yuma,President,NA,ADP,Rocky De La Fuente,0,04027
AZ,Apache,President,NA,NA,Cherunda Fox,1,04001
AZ,Cochise,President,NA,NA,Cherunda Fox,0,04003
AZ,Coconino,President,NA,NA,Cherunda Fox,0,04005
AZ,Gila,President,NA,NA,Cherunda Fox,0,04007
AZ,Graham,President,NA,NA,Cherunda Fox,0,04009
AZ,Greenlee,President,NA,NA,Cherunda Fox,0,04011
